"행정구역","2023년_남_거주자_총인구수","2023년_남_거주자_연령구간인구수","2023년_남_거주자_0세","2023년_남_거주자_1세","2023년_남_거주자_2세","2023년_남_거주자_3세","2023년_남_거주자_4세","2023년_남_거주자_5세","2023년_남_거주자_6세","2023년_남_거주자_7세","2023년_남_거주자_8세","2023년_남_거주자_9세","2023년_남_거주자_10세","2023년_남_거주자_11세","2023년_남_거주자_12세","2023년_남_거주자_13세","2023년_남_거주자_14세","2023년_남_거주자_15세","2023년_남_거주자_16세","2023년_남_거주자_17세","2023년_남_거주자_18세","2023년_남_거주자_19세","2023년_남_거주자_20세","2023년_남_거주자_21세","2023년_남_거주자_22세","2023년_남_거주자_23세","2023년_남_거주자_24세","2023년_남_거주자_25세","2023년_남_거주자_26세","2023년_남_거주자_27세","2023년_남_거주자_28세","2023년_남_거주자_29세","2023년_남_거주자_30세","2023년_남_거주자_31세","2023년_남_거주자_32세","2023년_남_거주자_33세","2023년_남_거주자_34세","2023년_남_거주자_35세","2023년_남_거주자_36세","2023년_남_거주자_37세","2023년_남_거주자_38세","2023년_남_거주자_39세","2023년_남_거주자_40세","2023년_남_거주자_41세","2023년_남_거주자_42세","2023년_남_거주자_43세","2023년_남_거주자_44세","2023년_남_거주자_45세","2023년_남_거주자_46세","2023년_남_거주자_47세","2023년_남_거주자_48세","2023년_남_거주자_49세","2023년_남_거주자_50세","2023년_남_거주자_51세","2023년_남_거주자_52세","2023년_남_거주자_53세","2023년_남_거주자_54세","2023년_남_거주자_55세","2023년_남_거주자_56세","2023년_남_거주자_57세","2023년_남_거주자_58세","2023년_남_거주자_59세","2023년_남_거주자_60세","2023년_남_거주자_61세","2023년_남_거주자_62세","2023년_남_거주자_63세","2023년_남_거주자_64세","2023년_남_거주자_65세","2023년_남_거주자_66세","2023년_남_거주자_67세","2023년_남_거주자_68세","2023년_남_거주자_69세","2023년_남_거주자_70세","2023년_남_거주자_71세","2023년_남_거주자_72세","2023년_남_거주자_73세","2023년_남_거주자_74세","2023년_남_거주자_75세","2023년_남_거주자_76세","2023년_남_거주자_77세","2023년_남_거주자_78세","2023년_남_거주자_79세","2023년_남_거주자_80세","2023년_남_거주자_81세","2023년_남_거주자_82세","2023년_남_거주자_83세","2023년_남_거주자_84세","2023년_남_거주자_85세","2023년_남_거주자_86세","2023년_남_거주자_87세","2023년_남_거주자_88세","2023년_남_거주자_89세","2023년_남_거주자_90세","2023년_남_거주자_91세","2023년_남_거주자_92세","2023년_남_거주자_93세","2023년_남_거주자_94세","2023년_남_거주자_95세","2023년_남_거주자_96세","2023년_남_거주자_97세","2023년_남_거주자_98세","2023년_남_거주자_99세","2023년_남_거주자_100세 이상","2023년_여_거주자_총인구수","2023년_여_거주자_연령구간인구수","2023년_여_거주자_0세","2023년_여_거주자_1세","2023년_여_거주자_2세","2023년_여_거주자_3세","2023년_여_거주자_4세","2023년_여_거주자_5세","2023년_여_거주자_6세","2023년_여_거주자_7세","2023년_여_거주자_8세","2023년_여_거주자_9세","2023년_여_거주자_10세","2023년_여_거주자_11세","2023년_여_거주자_12세","2023년_여_거주자_13세","2023년_여_거주자_14세","2023년_여_거주자_15세","2023년_여_거주자_16세","2023년_여_거주자_17세","2023년_여_거주자_18세","2023년_여_거주자_19세","2023년_여_거주자_20세","2023년_여_거주자_21세","2023년_여_거주자_22세","2023년_여_거주자_23세","2023년_여_거주자_24세","2023년_여_거주자_25세","2023년_여_거주자_26세","2023년_여_거주자_27세","2023년_여_거주자_28세","2023년_여_거주자_29세","2023년_여_거주자_30세","2023년_여_거주자_31세","2023년_여_거주자_32세","2023년_여_거주자_33세","2023년_여_거주자_34세","2023년_여_거주자_35세","2023년_여_거주자_36세","2023년_여_거주자_37세","2023년_여_거주자_38세","2023년_여_거주자_39세","2023년_여_거주자_40세","2023년_여_거주자_41세","2023년_여_거주자_42세","2023년_여_거주자_43세","2023년_여_거주자_44세","2023년_여_거주자_45세","2023년_여_거주자_46세","2023년_여_거주자_47세","2023년_여_거주자_48세","2023년_여_거주자_49세","2023년_여_거주자_50세","2023년_여_거주자_51세","2023년_여_거주자_52세","2023년_여_거주자_53세","2023년_여_거주자_54세","2023년_여_거주자_55세","2023년_여_거주자_56세","2023년_여_거주자_57세","2023년_여_거주자_58세","2023년_여_거주자_59세","2023년_여_거주자_60세","2023년_여_거주자_61세","2023년_여_거주자_62세","2023년_여_거주자_63세","2023년_여_거주자_64세","2023년_여_거주자_65세","2023년_여_거주자_66세","2023년_여_거주자_67세","2023년_여_거주자_68세","2023년_여_거주자_69세","2023년_여_거주자_70세","2023년_여_거주자_71세","2023년_여_거주자_72세","2023년_여_거주자_73세","2023년_여_거주자_74세","2023년_여_거주자_75세","2023년_여_거주자_76세","2023년_여_거주자_77세","2023년_여_거주자_78세","2023년_여_거주자_79세","2023년_여_거주자_80세","2023년_여_거주자_81세","2023년_여_거주자_82세","2023년_여_거주자_83세","2023년_여_거주자_84세","2023년_여_거주자_85세","2023년_여_거주자_86세","2023년_여_거주자_87세","2023년_여_거주자_88세","2023년_여_거주자_89세","2023년_여_거주자_90세","2023년_여_거주자_91세","2023년_여_거주자_92세","2023년_여_거주자_93세","2023년_여_거주자_94세","2023년_여_거주자_95세","2023년_여_거주자_96세","2023년_여_거주자_97세","2023년_여_거주자_98세","2023년_여_거주자_99세","2023년_여_거주자_100세 이상"
"경기도 경기도 양평군 (4183000000)","62,485","62,485","243","252","232","264","286","308","381","420","451","489","459","538","526","537","519","547","501","514","480","600","497","504","531","521","530","542","530","561","604","580","549","616","589","526","508","498","487","526","576","570","686","763","780","799","810","740","736","829","917","953","978","1,062","1,054","1,061","1,092","1,128","1,009","1,073","1,120","1,222","1,234","1,336","1,503","1,508","1,431","1,387","1,357","1,282","1,281","1,129","985","1,164","651","723","725","771","739","624","539","539","472","559","424","347","325","266","219","210","156","118","71","55","46","36","27","14","12","5","3","5","3","62,115","62,115","207","245","268","245","294","294","361","371","444","422","446","476","512","487","468","512","517","456","419","463","389","394","416","413","414","470","427","475","485","515","466","538","479","472","463","480","483","505","569","592","656","818","812","867","825","692","819","777","806","905","964","960","1,028","1,006","1,009","1,035","1,079","1,034","1,162","1,192","1,147","1,343","1,471","1,529","1,422","1,359","1,289","1,276","1,338","1,153","1,011","1,199","676","725","707","713","740","595","572","588","577","675","552","438","469","437","369","365","351","290","212","194","126","123","88","75","44","25","18","10","26"
"경기도 양평군 양평읍(4183025000)","17,685","17,685","91","88","86","94","106","102","145","137","163","170","152","172","189","177","174","201","188","193","184","196","181","191","201","182","203","192","181","229","220","224","209","215","220","193","185","182","180","178","208","186","230","253","241","268","244","248","219","285","287","292","313","359","311","321","307","317","304","295","303","293","308","325","345","319","313","313","289","236","264","223","208","245","126","147","121","156","121","135","108","90","96","118","77","64","52","48","43","33","24","22","17","5","14","6","4","4","2","2","1","3","0","17,801","17,801","91","113","79","100","117","96","137","141","140","155","162","161","174","188","167","182","185","184","148","177","155","156","166","161","161","200","144","187","189","208","190","196","172","175","163","186","172","178","199","198","223","288","263","338","282","254","259","253","306","317","339","287","320","297","308","288","280","305","298","309","276","316","342","335","300","294","276","273","273","236","212","225","136","119","146","164","150","120","118","116","130","129","132","103","96","79","61","68","66","62","42","44","27","26","16","8","8","2","1","3","4"
"경기도 양평군 강상면(4183031000)","4,977","4,977","32","29","26","29","23","33","36","49","47","50","58","48","61","45","49","48","44","39","47","42","40","33","39","37","35","32","38","40","36","45","45","43","41","33","38","52","39","42","58","67","63","77","81","73","74","67","68","67","99","84","80","84","87","67","93","79","65","76","62","93","86","105","102","106","90","94","100","97","92","85","84","94","48","43","58","59","68","58","45","28","33","45","28","12","26","26","13","16","6","5","5","6","2","4","0","0","1","0","0","0","0","4,984","4,984","23","26","30","23","28","51","42","31","56","45","45","37","56","48","45","36","53","35","42","25","23","32","32","32","27","44","33","33","40","34","40","40","38","34","36","41","37","47","72","61","49","91","77","84","65","73","83","86","64","97","79","73","60","71","74","93","78","83","69","99","81","105","120","125","108","98","106","73","104","78","85","86","57","52","59","42","55","48","27","36","30","47","28","33","28","34","27","19","20","16","12","13","9","9","3","2","2","2","3","0","1"
"경기도 양평군 강하면(4183032000)","2,426","2,426","10","5","8","10","11","7","19","7","9","8","6","12","13","9","12","10","13","7","10","17","13","16","20","16","16","13","19","18","31","17","14","16","16","14","15","14","19","17","22","17","27","20","19","23","32","15","15","23","28","32","19","29","32","37","41","49","39","40","46","58","64","56","80","87","56","78","75","72","71","55","47","50","41","58","46","42","43","33","21","26","27","23","27","14","12","12","8","10","7","5","1","3","2","2","1","0","1","0","0","0","0","2,405","2,405","5","6","7","8","6","4","8","1","11","11","7","9","9","7","5","16","9","12","5","10","15","15","12","9","19","9","13","13","12","18","21","8","17","15","19","13","18","12","12","14","20","25","27","25","22","14","28","15","25","21","29","44","36","37","44","42","50","29","55","58","49","65","76","73","92","81","61","74","84","63","54","58","39","33","47","34","38","28","33","19","14","33","30","15","17","18","14","12","11","14","7","6","4","6","2","5","5","2","1","1","1"
"경기도 양평군 양서면(4183033000)","6,832","6,832","21","26","32","28","35","30","32","45","39","45","40","64","39","58","48","52","45","61","36","89","63","59","51","66","58","60","52","60","52","54","61","64","58","46","66","47","47","52","54","58","70","78","85","84","96","76","64","80","100","87","114","109","116","115","141","139","116","120","113","133","120","154","176","167","138","164","170","154","138","127","106","108","92","95","86","94","92","65","72","71","55","69","48","45","40","30","36","20","21","13","8","10","6","5","4","3","0","0","0","0","1","6,987","6,987","17","20","27","22","27","18","37","39","53","33","44","54","55","34","61","67","46","45","36","45","38","44","41","41","36","57","61","64","53","73","50","65","56","44","65","39","56","57","67","60","64","75","99","95","84","69","84","80","74","94","108","129","137","136","119","122","135","102","141","142","134","151","151","191","187","159","173","139","158","136","106","146","85","106","82","89","101","72","65","57","65","88","47","43","40","45","28","48","44","28","24","19","12","8","8","4","4","3","2","0","3"
"경기도 양평군 옥천면(4183034000)","4,102","4,102","14","16","10","15","21","12","21","30","25","29","16","37","40","40","39","30","28","19","32","22","18","26","30","34","35","40","40","40","49","45","28","49","37","37","24","37","32","47","32","40","53","62","50","48","44","43","55","54","63","49","60","76","73","77","61","62","60","64","86","97","76","88","90","130","110","86","97","94","89","81","69","78","39","45","51","47","50","47","39","30","33","30","31","23","27","12","13","12","8","6","4","4","2","5","1","1","1","0","0","0","0","3,970","3,970","9","12","20","18","19","20","17","29","23","25","22","40","29","30","24","30","39","20","27","19","22","16","20","23","28","22","26","21","26","31","23","35","30","25","21","25","36","39","34","36","49","47","61","42","51","29","50","48","50","55","50","53","76","65","64","64","70","71","79","83","85","92","103","111","101","85","96","85","93","81","64","79","60","60","44","40","53","38","36","34","36","44","38","35","32","25","28","27","23","16","15","14","5","7","8","4","2","1","1","1","0"
"경기도 양평군 서종면(4183035000)","4,968","4,968","14","16","7","19","18","29","33","41","35","54","42","58","49","53","42","54","42","42","43","35","31","41","34","28","36","39","32","29","31","30","27","37","37","36","30","33","33","40","40","48","53","57","65","60","74","66","76","64","83","93","81","98","93","81","87","105","77","95","97","94","102","100","122","115","111","105","102","127","122","102","77","80","56","58","64","72","65","53","38","57","41","41","27","26","20","13","12","12","9","5","5","5","5","1","0","0","0","1","0","0","0","4,993","4,993","9","11","21","14","23","26","27","29","44","47","42","41","58","48","40","43","51","34","36","29","27","22","22","28","25","14","20","29","19","30","29","27","35","35","34","33","39","31","46","62","75","84","64","63","83","69","75","82","76","84","77","72","102","81","82","84","90","82","90","101","92","128","131","110","122","114","115","115","115","116","96","94","67","74","52","57","46","47","34","41","30","40","22","32","25","28","22","29","22","18","16","8","5","9","4","7","5","5","3","1","0"
"경기도 양평군 단월면(4183036000)","2,018","2,018","1","9","2","6","4","2","4","6","7","6","14","10","13","17","22","15","15","12","8","8","7","7","13","15","9","10","20","14","14","14","18","16","17","7","16","16","9","8","12","20","18","21","26","20","24","13","12","22","29","20","34","29","34","38","26","32","36","36","43","30","47","56","59","64","73","57","55","59","47","47","46","61","20","34","30","34","26","24","22","22","26","25","10","23","17","11","5","11","7","7","1","3","1","0","1","1","0","0","0","0","0","1,897","1,897","1","3","3","3","2","8","6","6","7","6","5","14","5","17","14","16","7","4","8","12","6","5","8","6","5","10","7","9","14","13","7","14","9","9","8","13","9","10","9","13","13","17","12","15","16","16","23","20","15","21","18","23","33","20","24","40","39","37","45","41","36","43","57","74","44","56","53","51","54","37","44","60","25","29","26","27","23","27","19","27","30","37","18","18","31","28","15","16","19","12","6","10","10","4","3","3","2","1","1","1","1"
"경기도 양평군 청운면(4183037000)","1,934","1,934","2","3","4","4","3","6","7","9","5","5","10","9","9","2","6","9","3","11","9","12","7","9","17","13","11","11","12","9","11","14","10","14","11","11","12","12","7","8","9","10","13","13","18","11","16","19","23","26","15","24","36","26","25","38","28","30","29","45","43","51","37","47","59","66","66","67","52","45","46","55","55","63","25","36","28","28","33","31","26","21","18","18","21","26","12","16","11","12","17","9","2","3","5","2","0","0","1","0","0","0","0","1,832","1,832","2","4","0","3","2","5","1","5","5","7","4","7","8","4","5","6","4","7","5","11","6","9","6","3","5","4","10","13","13","9","11","10","10","6","3","15","1","10","8","4","15","14","17","15","17","7","9","14","11","23","16","20","27","23","26","31","32","34","42","24","49","43","57","60","61","53","34","58","62","60","33","53","26","27","35","33","25","26","38","27","31","37","27","14","28","22","26","24","24","22","11","14","6","3","3","7","0","1","2","0","2"
"경기도 양평군 양동면(4183038000)","2,303","2,303","4","11","3","6","3","10","8","7","6","9","8","13","8","9","6","13","9","9","11","10","11","13","13","16","17","13","21","9","17","17","17","13","15","12","14","7","19","17","13","12","17","28","17","21","13","19","21","22","15","29","27","31","37","31","40","36","41","47","32","76","73","69","84","64","62","81","54","56","71","55","65","49","34","46","41","40","37","21","29","32","15","27","23","20","24","23","12","13","8","12","4","1","2","4","2","0","0","0","0","0","1","2,247","2,247","4","3","7","0","3","2","6","7","6","2","8","5","13","6","10","14","14","11","8","14","10","3","11","9","7","10","11","7","12","16","9","12","8","11","19","8","10","9","14","10","18","14","14","12","19","12","12","21","13","18","27","31","17","37","43","34","42","47","59","49","68","65","61","56","65","62","63","75","56","61","65","52","28","41","27","32","42","29","31","36","35","41","29","18","33","22","33","22","13","22","13","13","14","11","6","10","4","1","0","1","3"
"경기도 양평군 지평면(4183039500)","3,468","3,468","11","6","7","9","8","15","10","15","16","10","21","17","14","17","28","19","23","29","23","23","19","13","24","16","21","30","19","18","29","23","12","23","21","23","18","20","14","17","28","15","21","27","30","33","29","33","41","33","36","48","50","34","49","62","65","67","48","66","65","69","89","92","108","116","117","103","101","102","101","76","68","105","59","41","55","65","63","36","31","34","35","43","39","22","29","20","19","20","12","8","5","6","1","2","7","1","2","0","2","2","1","3,329","3,329","7","7","13","7","8","11","6","8","9","15","9","14","13","13","12","17","15","18","8","11","18","18","28","18","9","19","21","24","22","13","16","20","10","17","15","16","14","19","22","19","27","23","30","20","37","31","25","28","21","28","46","43","45","50","41","57","54","64","85","76","74","85","110","105","83","97","94","82","84","82","47","84","43","51","58","62","48","40","47","57","48","46","48","38","47","42","29","31","28","35","22","14","18","6","13","10","2","3","1","1","4"
"경기도 양평군 용문면(4183040000)","9,180","9,180","38","39","39","40","46","54","53","64","86","93","82","84","79","92","75","73","75","81","66","133","90","77","71","78","69","87","73","73","90","81","88","108","104","96","75","67","79","83","78","80","99","104","114","125","127","105","115","124","132","164","129","153","153","157","147","168","137","153","167","164","176","179","224","191","208","167","194","169","175","165","121","165","89","86","112","99","98","85","79","93","70","87","68","58","48","41","34","35","29","17","14","8","5","4","5","2","2","2","0","0","0","9,167","9,167","35","35","51","40","50","46","63","65","76","62","79","81","78","81","71","70","78","70","81","99","58","62","59","73","75","65","65","62","71","56","60","90","76","84","70","72","79","82","72","95","89","123","122","128","117","98","148","107","117","121","135","155","148","156","138","149","152","140","154","158","152","187","193","202","181","196","169","197","186","155","146","168","85","88","98","106","120","90","93","110","91","95","100","78","71","71","65","55","54","25","29","32","13","25","20","10","8","4","2","0","5"
"경기도 양평군 개군면(4183041000)","2,592","2,592","5","4","8","4","8","8","13","10","13","10","10","14","12","18","18","23","16","11","11","13","17","19","18","20","20","15","23","22","24","16","20","18","12","18","15","11","9","17","22","17","22","23","34","33","37","36","27","29","30","31","35","34","44","37","56","44","57","36","63","64","56","65","54","83","87","72","68","71","65","58","39","66","22","34","33","35","43","36","29","35","23","33","25","14","18","14","13","16","8","9","5","1","1","1","2","2","2","0","0","0","0","2,503","2,503","4","5","10","7","9","7","11","10","14","14","19","13","14","11","14","15","16","16","15","11","11","12","11","10","17","16","16","13","14","14","10","21","18","17","10","19","12","11","14","20","14","17","26","30","32","20","23","23","34","26","40","30","27","33","46","31","57","40","45","52","51","63","70","87","78","64","49","54","69","48","59","94","25","45","33","27","39","30","31","28","37","38","33","11","21","23","21","14","27","20","15","7","3","9","2","5","2","0","1","1","2"
